Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
Michael Lahoud,2015,M,PHI,19,14,1233,0,0,0.0,0.0,0,0,0,0,0,0,108900.0,112233.33,0
Michael Nanchoff,2011,M,VAN,5,1,137,0,0,0.0,0.0,0,0,0,0,0,0,60000.0,95000.0,0
Michael Nanchoff,2012,M,VAN,9,1,145,0,0,0.0,0.0,0,0,0,0,0,0,132000.0,202000.0,0
Michael Nanchoff,2013,M,POR,1,0,8,0,0,0.0,0.0,0,0,0,0,0,0,93000.0,93000.0,0
Michael Nanchoff,2014,M,POR,3,1,85,0,0,0.0,0.0,0,0,0,0,0,0,48825.0,48825.0,0
Michael Nanchoff,2015,M,POR,4,0,27,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120000.0,0
Michael Nwiloh,2014,D,CHV,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,36504.0,36504.0,0
Michael Parkhurst,2014,D,CLB,35,34,2986,0,0,0.0,0.0,0,0,0,0,0,0,550000.0,600000.0,0
Michael Parkhurst,2015,D,CLB,38,38,3375,0,1,0.0,0.03,0,0,0,0,1,0,550000.0,600000.0,1
Michael Parkhurst,2016,D,CLB,34,34,3036,0,2,0.0,0.06,0,0,0,0,1,1,275000.0,300000.0,2
Michael Parkhurst,2017,D,ATL,34,33,2959,0,0,0.0,0.0,0,0,0,0,0,0,650016.0,650016.0,0
Michael Stephens,2015,M,CHI,20,16,1314,0,4,0.0,0.27,0,2,0,0,3,1,95000.0,105000.0,4
Michael Stephens,2016,M,CHI,17,11,948,0,2,0.0,0.19,0,0,0,0,0,2,105000.0,115000.0,2
Michael Tetteh,2011,D,SEA,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,155326.12,0
Michael Tetteh,2012,D,SEA,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,132000.0,167326.12,0
Michael Videira,2011,M,CHI,9,7,493,0,1,0.0,0.18,0,0,0,0,1,0,42000.0,42625.0,1
Michael Videira,2012,M,CHI,3,0,40,0,0,0.0,0.0,0,0,0,0,0,0,88200.0,89450.0,0
Michael Videira,2013,M,CHI,2,1,84,0,0,0.0,0.0,0,0,0,0,0,0,46500.0,47125.0,0
Miguel Comminges,2011,D,COL,7,7,592,0,0,0.0,0.0,0,0,0,0,0,0,84000.0,84000.0,0
Mikael Silvestre,2013,D,POR,8,8,688,0,0,0.0,0.0,0,0,0,0,0,0,180000.0,186666.67,0
Mike Chabala,2007,D,HOU,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,35400.0,35400.0,0
Mike Magee,2013,M,CHI,32,32,2793,21,4,0.68,0.13,6,2,13,8,2,2,185000.0,191666.67,25
Mike Magee,2014,M,CHI,17,17,1519,7,4,0.41,0.24,2,1,6,1,2,2,350000.0,417500.0,11
Mike Magee,2015,M,CHI,12,3,360,0,2,0.0,0.5,0,0,0,0,0,2,400000.0,467500.0,2
Mike Petke,2007,D,COL,24,24,2018,1,0,0.04,0.0,0,0,1,0,0,0,126000.0,126000.0,1
