Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
AJ Cochran,2014,D,HOU,19,14,1370,0,0,0.0,0.0,0,0,0,0,0,0,57500.0,73500.0,0
AJ Cochran,2015,D,HOU,7,5,512,0,0,0.0,0.0,0,0,0,0,0,0,60375.0,76375.0,0
Aaron Guillen,2016,D,DAL,2,1,106,0,0,0.0,0.0,0,0,0,0,0,0,103000.0,103000.0,0
Aaron Guillen,2017,D,DAL,6,4,374,0,0,0.0,0.0,0,0,0,0,0,0,54075.0,54075.0,0
Aaron Horton,2011,F,CLB,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0,90000.0,121000.0,0
Aaron Horton,2012,F,CLB,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,55000.0,70500.0,0
Aaron Horton,2013,F,CLB,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,65000.0,80500.0,0
Aaron Jones,2017,D,PHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,53004.0,53004.0,0
Aaron Kovar,2014,M,SEA,3,0,25,0,0,0.0,0.0,0,0,0,0,0,0,97000.0,97400.0,0
Aaron Kovar,2015,M,SEA,6,2,201,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120400.0,0
Aaron Kovar,2016,M,SEA,16,10,811,1,0,0.11,0.0,0,0,0,1,0,0,126000.0,126400.0,1
Aaron Kovar,2017,M,SEA,7,1,199,0,0,0.0,0.0,0,0,0,0,0,0,132300.0,132700.0,0
Aaron Maund,2012,D,TOR,15,9,947,0,0,0.0,0.0,0,0,0,0,0,0,44000.0,59000.0,0
Aaron Maund,2013,D,RSL,3,3,270,0,0,0.0,0.0,0,0,0,0,0,0,70250.0,86916.66,0
Aaron Maund,2014,D,RSL,6,5,432,0,0,0.0,0.0,0,0,0,0,0,0,73000.0,80500.0,0
Aaron Maund,2015,D,RSL,22,21,1974,1,1,0.05,0.05,0,1,0,1,1,0,60000.0,63449.5,2
Aaron Maund,2016,D,RSL,20,20,1746,0,0,0.0,0.0,0,0,0,0,0,0,170000.0,176899.0,0
Aaron Maund,2017,D,RSL,15,14,1179,1,0,0.08,0.0,1,0,1,0,0,0,330000.0,348875.0,1
Aaron Pitchkolan,2007,D,DAL,16,11,1142,0,0,0.0,0.0,0,0,0,0,0,0,35400.0,35400.0,0
Aaron Pitchkolan,2008,D,DAL,21,15,1345,1,0,0.07,0.0,1,0,0,1,0,0,33000.0,33000.0,1
Aaron Wheeler,2013,F,PHI,10,1,129,1,1,0.7,0.7,0,1,1,0,0,1,46500.0,46500.0,2
Aaron Wheeler,2014,F,PHI,15,8,759,0,0,0.0,0.0,0,0,0,0,0,0,48825.0,48825.0,0
Abdus Ibrahim,2007,F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,100000.0,166000.0,0
Abe Thompson,2007,F,DAL,25,15,1234,5,4,0.37,0.29,2,1,2,3,1,3,60000.0,60000.0,9
Abe Thompson,2008,F,DAL,23,13,1100,3,2,0.28,0.19,0,0,2,1,2,0,66000.0,66000.0,5
Abe Thompson,2009,F,HOU,9,1,203,1,0,0.44,0.0,1,0,0,1,0,0,120000.0,127250.0,1
Abuchi Obinwa,2017,M,CLB,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,130008.0,130008.0,0
Adam Bedell,2014,F,CLB,17,7,677,2,0,0.28,0.0,0,0,1,1,0,0,73008.0,73008.0,2
Adam Johansson,2012,D,SEA,25,25,2178,0,2,0.0,0.1,0,0,0,0,0,2,350000.0,365666.66,2
Adam Moffat,2008,M,CLB,7,6,513,2,0,0.35,0.0,1,0,2,0,0,0,35400.0,35400.0,2
Adam Moffat,2009,M,CLB,12,6,531,1,0,0.17,0.0,0,0,0,1,0,0,96000.0,96000.0,1
Adam Moffat,2010,M,CLB,24,23,1951,2,1,0.09,0.05,0,1,1,1,1,0,100800.0,100800.0,3
Adam Moffat,2011,M,HOU,21,16,1563,2,1,0.15,0.07,0,0,2,0,0,1,113400.0,113400.0,3
Adam Moffat,2012,M,HOU,29,28,2386,3,4,0.29000000000000004,0.34,2,1,3,0,1,3,119070.0,119070.0,7
Adam Moffat,2014,M,DAL,20,13,1150,0,0,0.0,0.0,0,0,0,0,0,0,330000.0,353216.66,0
Adam Najem,2017,M,PHI,5,1,153,0,0,0.0,0.0,0,0,0,0,0,0,65000.04,65000.04,0
Adolfo Machado,2017,D,HOU,38,38,3450,0,2,0.0,0.06,0,1,0,0,2,0,400008.0,433008.0,2
Adonijah Reid,2017,F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,70000.08,87500.08,0
Adrian Arregui,2017,M,MTL,6,3,238,0,1,0.0,0.38,0,1,0,0,0,1,240000.0,290976.67,1
Adrian Cann,2012,D,TOR,10,8,735,0,0,0.0,0.0,0,0,0,0,0,0,126000.0,134750.0,0
Adrian Serioux,2007,D,DAL,12,12,976,0,0,0.0,0.0,0,0,0,0,0,0,216000.0,241000.0,0
Adrian Serioux,2008,D,DAL,24,24,1926,0,4,0.0,0.19,0,0,0,0,1,3,113400.0,125900.0,4
Adrian Serioux,2010,D,HOU,13,7,708,2,1,0.25,0.13,0,0,0,2,1,0,96000.0,96000.0,3
Adrian Winter,2015,M-F,ORL,9,7,600,2,1,0.3,0.15,0,1,2,0,1,0,180000.0,198333.33,3
Adrian Winter,2016,M-F,ORL,13,12,975,3,2,0.28,0.18,0,0,2,1,2,0,180000.0,198333.33,5
Agustin Jara,2016,D,DAL,3,0,12,0,0,0.0,0.0,0,0,0,0,0,0,62508.0,62508.0,0
Agustin Viana,2013,M-D,CLB,20,20,1519,0,0,0.0,0.0,0,0,0,0,0,0,105000.0,131666.67,0
Agustin Viana,2014,M-D,CLB,4,4,300,1,0,0.3,0.0,0,0,0,1,0,0,230000.0,283333.34,1
Ahmed Kantari,2015,D,TOR,13,11,996,0,0,0.0,0.0,0,0,0,0,0,0,600000.0,690000.0,0
Akira Kaji,2014,D,CHV,15,14,1270,0,1,0.0,0.07,0,1,0,0,1,0,48504.0,48504.0,1
Alain Rochat,2011,D,VAN,28,27,2434,3,1,0.11,0.04,1,1,3,0,1,0,150000.0,150000.0,4
Alain Rochat,2012,D,VAN,28,28,2413,2,2,0.08,0.08,0,1,2,0,2,0,340000.0,340000.0,4
Alan Gordon,2010,F,CHV,21,12,1199,2,3,0.15,0.23,1,1,1,1,3,0,87731.0,87731.0,5
Alan Gordon,2016,F,LA,25,10,913,4,3,0.8200000000000001,1.02,1,1,2,2,2,1,340000.0,340000.0,7
Alan Gordon,2017,F,COL,26,6,816,3,4,0.33,0.44,3,1,3,0,3,1,180000.0,180000.0,7
Albert Rusnak,2017,M,RSL,30,29,2579,7,14,0.24,0.49,1,5,5,2,10,4,825000.0,882812.5,21
Alberth Elis,2017,F,HOU,30,22,2035,11,4,0.78,0.22,4,0,10,1,3,1,846000.0,846000.0,15
Alecko Eskandarian,2007,F,RSL,23,23,1913,2,3,0.09,0.14,0,2,2,0,2,1,155000.0,175500.0,5
Alecko Eskandarian,2008,F,CHV,12,8,701,5,2,0.69,0.27,2,1,3,2,0,2,247000.0,262082.5,7
Alejandro Bedoya,2017,M,PHI,28,28,2509,2,4,0.07,0.14,0,1,1,1,3,1,1131000.0,1197250.0,6
Alejandro Moreno,2007,F,CLB,29,27,2357,7,7,0.27,0.27,1,1,2,5,4,3,120000.0,125000.0,14
Alejandro Moreno,2008,F,CLB,31,31,2788,10,7,0.5800000000000001,0.9,2,2,6,4,5,2,252000.0,262000.0,17
Alejandro Moreno,2009,F,CLB,23,18,1695,4,1,0.22,0.06,1,1,2,2,1,0,264600.0,274600.0,5
Alejandro Moreno,2010,F,PHI,26,25,1974,2,7,0.09,0.32,1,1,1,1,3,4,145000.0,158125.0,9
Alejandro Moreno,2011,F,CHV,24,22,2016,5,2,0.22,0.09,1,1,1,4,2,0,172000.0,182000.0,7
Alejandro Moreno,2012,F,CHV,22,17,1520,2,0,0.12,0.0,0,0,1,1,0,0,185000.0,195000.0,2
Alessandro Nesta,2012,D,MTL,8,8,633,0,0,0.0,0.0,0,0,0,0,0,0,180000.0,225000.0,0
Alessandro Nesta,2013,D,MTL,23,23,1939,0,1,0.0,0.05,0,0,0,0,1,0,520000.0,610000.0,1
Alex Caskey,2012,M,SEA,21,13,1166,1,4,0.08,0.33,0,2,1,0,1,3,67512.0,67512.0,5
Alex Caskey,2013,M,SEA,10,5,430,0,0,0.0,0.0,0,0,0,0,0,0,93000.0,93000.0,0
Alex Crognale,2017,D,CLB,17,12,1069,0,1,0.0,0.08,0,1,0,0,1,0,169992.0,169992.0,1
Alex Grendi,2009,M,CLB,3,1,127,0,1,0.0,0.71,0,0,0,0,0,1,40200.0,40200.0,1
Alex Lee,2012,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,33756.0,33756.0,0
Alex Morrell,2016,F,CHI,4,0,52,0,0,0.0,0.0,0,0,0,0,0,0,51500.0,51500.0,0
Alex Nimo,2008,F-M,RSL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,90000.0,156000.0,0
Alex Nimo,2009,F-M,RSL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,70000.0,103000.0,0
Alex Nimo,2010,F-M,RSL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,216000.0,0
Alex Yi,2007,D,DAL,16,15,1298,0,0,0.0,0.0,0,0,0,0,0,0,61740.0,61740.0,0
Alex Zotinca,2007,D,CHV,23,21,1724,0,3,0.0,0.16,0,1,0,0,2,1,135000.0,137500.0,3
Alex Zotinca,2008,D,CHV,6,5,431,0,0,0.0,0.0,0,0,0,0,0,0,141750.0,144250.0,0
Alex Zotinca,2010,D,CHV,1,1,45,0,0,0.0,0.0,0,0,0,0,0,0,60000.0,60000.0,0
Alexandre Morfaw,2011,M,VAN,2,1,135,0,0,0.0,0.0,0,0,0,0,0,0,90000.0,90000.0,0
Alhaji Kamara,2016,F,DC,8,2,173,1,0,0.52,0.0,1,0,0,1,0,0,103000.08,119500.08,1
Alhaji Kamara,2017,F,DC,1,0,14,0,0,0.0,0.0,0,0,0,0,0,0,80000.0,88250.0,0
Alphonso Davies,2017,M,VAN,27,9,1079,0,1,0.0,0.09,0,0,0,0,1,0,130000.0,130000.0,1
Alvaro Rey,2013,M,TOR,13,9,770,1,1,0.12,0.12,0,0,1,0,1,0,180000.0,204450.0,2
Alvaro Saborio,2010,F,RSL,29,25,2121,12,4,0.54,0.18,5,1,9,3,2,2,240000.0,256250.0,16
Alvaro Saborio,2011,F,RSL,26,25,2184,14,2,1.56,0.09,5,0,9,5,2,0,500000.0,611250.0,16
Alvaro Saborio,2012,F,RSL,33,28,2570,17,3,0.64,0.11,6,0,13,4,1,2,700000.0,811250.0,20
Alvaro Saborio,2013,F,RSL,19,18,1665,13,2,1.08,0.13,2,1,6,7,2,0,720000.0,906666.66,15
Alvaro Saborio,2014,F,RSL,18,15,1328,8,2,0.63,0.16,4,1,6,2,0,2,720000.0,906666.66,10
Amadou Sanyang,2011,D,SEA,1,0,8,0,0,0.0,0.0,0,0,0,0,0,0,65208.0,65208.0,0
Ambroise Oyongo,2016,D,MTL,32,31,2796,1,6,0.19,0.38,1,1,1,0,4,2,200000.0,200000.0,7
Aminu Abdallah,2013,M,VAN,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,46500.0,46500.0,0
Amobi Okugo,2010,D-M,PHI,11,4,437,0,0,0.0,0.0,0,0,0,0,0,0,75000.0,158000.0,0
Amobi Okugo,2011,D-M,PHI,15,10,811,0,0,0.0,0.0,0,0,0,0,0,0,170000.0,336000.0,0
Amobi Okugo,2012,D-M,PHI,27,24,2230,0,1,0.0,0.04,0,0,0,0,1,0,90000.0,173000.0,1
Amobi Okugo,2013,D-M,PHI,32,32,2879,3,3,0.09,0.09,0,1,2,1,0,3,101250.0,184250.0,6
Amobi Okugo,2014,D-M,PHI,32,31,2798,2,2,0.06,0.06,0,0,1,1,1,1,145000.0,228000.0,4
Amobi Okugo,2016,D-M,POR,4,2,227,0,0,0.0,0.0,0,0,0,0,0,0,300000.0,325000.0,0
Amobi Okugo,2017,D-M,POR,10,4,496,0,0,0.0,0.0,0,0,0,0,0,0,130008.0,375883.0,0
Anderson Conceicao,2016,D,PHI,1,1,90,0,0,0.0,0.0,0,0,0,0,0,0,300000.0,331666.66,0
Andre Akpan,2010,F,COL,1,0,13,0,0,0.0,0.0,0,0,0,0,0,0,80000.0,130000.0,0
Andre Akpan,2011,F,COL,12,5,479,1,0,0.19,0.0,0,0,1,0,0,0,96000.0,96000.0,1
Andre Akpan,2012,F,COL,15,4,434,3,0,0.62,0.0,1,0,3,0,0,0,57200.0,57200.0,3
Andre Hainault,2009,D,HOU,23,22,1982,1,2,0.05,0.11,0,1,0,1,0,2,84000.0,110250.0,3
Andre Lewis,2014,M,VAN,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,48500.0,53500.0,0
Andre Lewis,2015,M,VAN,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,150000.0,0
Andre Rocha,2008,M,DAL,27,26,2151,3,8,0.13,0.33,1,4,1,2,4,4,135000.0,135000.0,11
Andre Rocha,2009,M,DAL,22,14,1270,2,1,0.14,0.07,0,0,1,1,1,0,140000.0,140000.0,3
Andrea Pisanu,2013,M,MTL,15,9,686,1,1,0.14,0.14,0,1,1,0,1,0,200000.0,296000.0,2
Andreas Ivanschitz,2015,M,SEA,9,8,736,2,2,0.51,0.51,1,0,1,1,1,1,360000.0,402500.0,4
Andreas Ivanschitz,2016,M,SEA,31,26,2020,3,8,0.14,0.38,0,3,2,1,6,2,500000.0,542500.0,11
Andres Correa,2015,D,SEA,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,136333.34,0
Andres Imperiale,2017,D,SJ,13,12,1111,0,0,0.0,0.0,0,0,0,0,0,0,210000.0,215000.0,0
Andres Romero,2013,M,MTL,31,20,1706,2,2,0.11,0.11,1,1,1,1,1,1,96000.0,96000.0,4
Andres Romero,2014,M,MTL,29,25,2185,6,3,0.25,0.12,1,0,4,2,1,2,60000.0,60000.0,9
Andres Romero,2015,M,MTL,27,23,1875,4,4,0.19,0.19,3,1,3,1,1,3,200000.0,200000.0,8
Andres Romero,2016,M,MTL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,220000.0,220000.0,0
Andres Romero,2017,M,MTL,9,4,432,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120000.0,0
Andrew Boyens,2011,D,CHV,12,10,909,1,0,0.1,0.0,0,0,0,1,0,0,60000.0,60000.0,1
Andrew Carleton,2017,M,ATL,1,0,4,0,0,0.0,0.0,0,0,0,0,0,0,130000.0,154800.0,0
Andrew Daniels,2007,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Andrew Daniels,2008,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,33000.0,33000.0,0
Andrew Driver,2013,M,HOU,31,21,1906,3,1,0.16,0.05,1,0,0,3,0,1,190000.0,190000.0,4
Andrew Driver,2014,M,HOU,34,22,1897,0,1,0.0,0.05,0,0,0,0,0,1,130000.0,144583.33,1
Andrew Duran,2012,D,SEA,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,67500.0,67500.0,0
Andrew Farrell,2013,D,NE,34,34,3023,0,1,0.0,0.03,0,0,0,0,1,0,160000.0,322000.0,1
Andrew Farrell,2014,D,NE,36,36,3230,0,0,0.0,0.0,0,0,0,0,0,0,190000.0,352000.0,0
Andrew Farrell,2015,D,NE,33,33,2909,0,0,0.0,0.0,0,0,0,0,0,0,235000.0,397000.0,0
Andrew Farrell,2016,D,NE,33,32,2891,0,1,0.0,0.03,0,1,0,0,1,0,148500.0,229500.0,1
Andrew Farrell,2017,D,NE,30,30,2664,0,3,0.0,0.1,0,1,0,0,3,0,182600.0,263600.0,3
Andrew Jacobson,2010,M,PHI,25,13,1294,0,0,0.0,0.0,0,0,0,0,0,0,40000.0,40000.0,0
Andrew Jacobson,2011,M,DAL,28,23,1917,1,5,0.05,0.24,0,2,0,1,2,3,90000.0,90000.0,6
Andrew Jacobson,2012,M,DAL,31,31,2597,1,1,0.03,0.03,0,0,1,0,1,0,87500.0,100000.0,2
Andrew Jacobson,2013,M,DAL,27,27,2292,3,1,0.12,0.04,0,0,2,1,1,0,122500.0,135000.0,4
Andrew Jacobson,2017,M,VAN,22,19,1710,2,2,0.11,0.11,0,1,1,1,1,1,300000.0,350000.0,4
Andrew Jean-Baptiste,2012,D,POR,5,4,426,1,0,0.21,0.0,0,0,1,0,0,0,60000.0,75000.0,1
Andrew Jean-Baptiste,2013,D,POR,26,22,2142,1,1,0.04,0.04,1,0,1,0,0,1,130000.0,160000.0,2
Andrew Jean-Baptiste,2014,D,CHV,10,8,731,0,1,0.0,0.12,0,0,0,0,0,1,80000.0,95000.0,1
Andrew Peterson,2007,D,CLB,1,1,75,0,0,0.0,0.0,0,0,0,0,0,0,12900.0,12900.0,0
Andrew Peterson,2008,D,CLB,1,1,69,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Andrew Wenger,2012,D-M,MTL,23,7,823,4,0,0.44,0.0,2,0,3,1,0,0,100000.0,202000.0,4
Andrew Wenger,2013,D-M,MTL,25,9,915,1,3,0.11,0.32,1,0,1,0,2,1,240000.0,444000.0,4
Andrew Wenger,2015,D-M,PHI,26,22,1725,1,2,0.05,0.1,1,0,1,0,0,2,180000.0,282000.0,3
Andrew Wenger,2016,D-M,HOU,32,24,2062,6,3,0.26,0.13,0,1,4,2,3,0,190000.0,190000.0,9
Andrew Wenger,2017,D-M,HOU,22,12,1110,2,2,0.16,0.16,0,0,1,1,1,1,420000.0,420000.0,4
Andrew Wheeler-Omiunu,2017,M,ATL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,106008.0,106008.0,0
Andrew Wiedeman,2010,F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,130000.0,216000.0,0
Andrew Wiedeman,2011,F,DAL,3,0,59,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,236000.0,0
Andrew Wiedeman,2013,F,TOR,14,9,821,2,1,0.22,0.11,1,0,2,0,1,0,55000.0,65000.0,3
Andrew Wiedeman,2014,F,TOR,7,0,90,0,0,0.0,0.0,0,0,0,0,0,0,60500.0,70500.0,0
Andy Craven,2015,F,SEA,3,0,67,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120000.0,0
Andy Craven,2016,F,SEA,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,62508.0,62508.0,0
Andy Herron,2007,F,CLB,18,10,794,4,2,0.45,0.23,0,1,2,2,2,0,140000.0,148750.0,6
Andy Herron,2008,F,CHI,17,4,529,0,0,0.0,0.0,0,0,0,0,0,0,180000.0,205000.0,0
Andy Iro,2008,D,CLB,21,11,1083,1,0,0.08,0.0,0,0,1,0,0,0,72000.0,107000.0,1
Andy Iro,2009,D,CLB,11,8,631,1,0,0.14,0.0,0,0,0,1,0,0,90200.0,125200.0,1
Andy Iro,2010,D,CLB,26,25,2207,3,1,0.13,0.04,2,0,2,1,0,1,104720.0,142220.0,4
Andy O'Brien,2012,D,VAN,9,8,750,0,0,0.0,0.0,0,0,0,0,0,0,300000.0,384500.0,0
Andy O'Brien,2013,D,VAN,16,16,1400,0,0,0.0,0.0,0,0,0,0,0,0,200012.04,230012.04,0
Andy O'Brien,2014,D,VAN,26,25,2258,0,1,0.0,0.04,0,0,0,0,1,0,250000.0,280000.0,1
Andy Thoma,2015,D,POR,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,150000.0,0
Andy Thoma,2016,D,POR,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,62500.0,64000.0,0
Andy Williams,2007,M,RSL,24,12,1277,1,3,0.07,0.21,0,0,1,0,1,2,70008.0,70008.0,4
Andy Williams,2008,M,RSL,29,17,1698,1,3,0.06,0.17,0,2,0,1,3,0,160000.0,160000.0,4
Andy Williams,2009,M,RSL,27,11,1148,3,6,0.47,0.69,2,2,2,1,4,2,168000.0,168000.0,9
Andy Williams,2010,M,RSL,32,22,2020,1,9,0.05,1.48,1,1,1,0,7,2,176400.0,176400.0,10
Andy Williams,2011,M,RSL,34,23,2192,2,1,0.09,0.05,1,0,2,0,0,1,198450.0,198450.0,3
Anibal Chala,2017,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,250000.08,333000.08,0
Ante Jazic,2009,D,CHV,14,14,1169,0,1,0.0,0.08,0,0,0,0,1,0,180000.0,197000.0,1
Ante Jazic,2010,D,CHV,21,21,1771,0,1,0.0,0.05,0,1,0,0,1,0,105000.0,113500.0,1
Ante Jazic,2011,D,CHV,28,28,2468,0,7,0.0,0.26,0,3,0,0,4,3,115000.0,123500.0,7
Ante Jazic,2012,D,CHV,27,27,2379,0,0,0.0,0.0,0,0,0,0,0,0,117500.0,117500.0,0
Ante Jazic,2013,D,CHV,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,132187.5,132187.5,0
Ante Razov,2007,F,CHV,26,24,2041,11,8,0.49,0.35,4,4,9,2,5,3,490000.0,497500.0,19
Ante Razov,2008,F,CHV,24,19,1584,5,6,0.32,0.38,1,2,2,3,4,2,510000.0,517500.0,11
Ante Razov,2009,F,CHV,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,140000.0,147750.0,0
Anthony Arena,2013,D,HOU,1,0,70,0,0,0.0,0.0,0,0,0,0,0,0,70250.0,70250.0,0
Anthony Arena,2014,D,HOU,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,36504.0,36504.0,0
Anthony Hamilton,2007,F,CHV,3,0,31,0,0,0.0,0.0,0,0,0,0,0,0,35400.0,35400.0,0
Anthony Hamilton,2008,F,CHV,5,0,47,0,0,0.0,0.0,0,0,0,0,0,0,35400.0,35400.0,0
Anthony Jackson-Hamel,2014,F,MTL,4,1,132,0,0,0.0,0.0,0,0,0,0,0,0,36504.0,36504.0,0
Anthony Jackson-Hamel,2015,F,MTL,8,0,156,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120000.0,0
Anthony Jackson-Hamel,2016,F,MTL,7,1,171,1,0,0.53,0.0,0,0,1,0,0,0,126000.0,126000.0,1
Anthony Jackson-Hamel,2017,F,MTL,21,11,1137,9,4,0.71,0.32,3,1,4,5,3,1,66150.0,66150.0,13
Anthony Manning,2015,D,POR,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,100000.08,100000.08,0
Anthony Manning,2016,D,POR,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,52500.0,52500.0,0
Anthony Obodai,2010,M,HOU,4,4,210,0,0,0.0,0.0,0,0,0,0,0,0,96000.0,112666.67,0
Anthony Wallace,2007,D,DAL,1,1,69,0,0,0.0,0.0,0,0,0,0,0,0,90000.0,156000.0,0
Anthony Wallace,2008,D,DAL,5,4,259,0,0,0.0,0.0,0,0,0,0,0,0,70000.0,103000.0,0
Anthony Wallace,2009,D,DAL,7,6,498,0,0,0.0,0.0,0,0,0,0,0,0,75000.0,108000.0,0
Anthony Wallace,2010,D,COL,13,11,904,0,1,0.0,0.16,0,0,0,0,1,0,115000.0,115000.0,1
Anthony Wallace,2011,D,COL,10,8,719,0,1,0.0,0.13,0,1,0,0,1,0,120750.0,120750.0,1
Anthony Wallace,2012,D,COL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,63394.0,63394.0,0
Anthony Wallace,2013,D,COL,6,0,107,0,0,0.0,0.0,0,0,0,0,0,0,133127.4,133127.4,0
Antoine Hoppenot,2012,F,PHI,25,3,817,4,1,0.44,0.11,0,0,2,2,0,1,44000.0,44000.0,5
Antoine Hoppenot,2013,F,PHI,30,2,732,3,2,0.37,0.25,1,1,1,2,0,2,48400.0,48400.0,5
Antoine Hoppenot,2014,F,PHI,13,1,205,0,0,0.0,0.0,0,0,0,0,0,0,54450.0,54450.0,0
Antoine Hoppenot,2015,F,PHI,1,0,4,0,0,0.0,0.0,0,0,0,0,0,0,60000.0,60000.0,0
Anton Walkes,2017,D,ATL,21,18,1633,2,0,0.12,0.0,1,0,2,0,0,0,106008.0,106008.0,2
Antonio Mlinar Delamea,2017,D,NE,29,29,2547,1,1,0.04,0.04,0,0,1,0,1,0,400008.0,400008.0,2
Antonio Nocerino,2016,M,ORL,21,19,1509,0,0,0.0,0.0,0,0,0,0,0,0,600000.0,650000.0,0
Antonio Nocerino,2017,M,ORL,31,28,2234,1,0,0.04,0.0,0,0,1,0,0,0,800000.0,850000.0,1
Ariel Lassiter,2016,F,LA,3,2,133,0,0,0.0,0.0,0,0,0,0,0,0,103000.0,103000.0,0
Armando Cooper,2017,M,TOR,23,10,946,0,2,0.0,0.2,0,1,0,0,2,0,378000.0,404666.66,2
Arne Friedrich,2012,D,CHI,24,23,1922,1,0,0.05,0.0,1,0,0,1,0,0,350000.0,461666.66,1
Arturo Alvarez,2007,M,DAL,29,23,2035,3,3,0.14,0.14,0,1,2,1,1,2,65638.0,92038.0,6
Arturo Alvarez,2011,M,RSL,16,8,724,0,1,0.0,0.12,0,0,0,0,1,0,385170.0,403845.0,1
Arturo Alvarez,2016,M,CHI,30,24,1923,5,9,0.23,0.42,1,0,3,2,4,5,115000.0,118264.0,14
Arturo Alvarez,2017,M,CHI,26,13,1104,3,2,0.25,0.17,0,0,2,1,1,1,270000.0,285000.0,5
Ashley Cole,2016,D,LA,29,28,2527,1,0,0.04,0.0,0,0,1,0,0,0,600000.0,655250.0,1
Atiba Harris,2007,D,RSL,21,13,1257,0,1,0.0,0.07,0,0,0,0,1,0,30000.0,30000.0,1
Atiba Harris,2008,D,CHV,29,24,2100,3,5,0.13,0.22,2,2,3,0,5,0,114000.0,120000.0,8
Atiba Harris,2010,D,DAL,32,31,2758,4,3,0.15,0.39,0,2,2,2,0,3,137940.0,143940.0,7
Atiba Harris,2011,D,VAN,5,5,444,2,3,0.41,0.61,1,0,2,0,3,0,77590.0,80590.0,5
Atiba Harris,2012,D,VAN,7,3,253,0,0,0.0,0.0,0,0,0,0,0,0,300000.0,316550.0,0
Atiba Harris,2013,D,COL,30,25,2102,5,1,0.22,0.04,2,1,4,1,0,1,330000.0,346550.0,6
Atiba Harris,2015,D,DAL,27,20,1849,2,2,0.1,0.1,1,0,0,2,0,2,260000.0,260000.0,4
Atiba Harris,2016,D,DAL,30,24,2150,1,4,0.05,1.09,0,1,0,1,4,0,286000.0,286000.0,5
Atiba Harris,2017,D,DAL,29,21,2020,2,2,0.09,0.09,0,0,1,1,2,0,155004.0,155004.0,4
Austin Berry,2012,D,CHI,29,29,2610,3,0,0.11,0.0,1,0,1,2,0,0,88000.0,118000.0,3
Austin Berry,2013,D,CHI,34,34,3060,1,2,0.03,0.06,1,1,1,0,1,1,63425.0,78425.0,3
Austin Berry,2014,D,PHI,6,6,497,0,1,0.0,0.18,0,0,0,0,1,0,86994.0,101994.0,1
Austin Washington,2008,D,CHI,1,1,60,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Austin Washington,2009,D,CHI,8,4,360,0,0,0.0,0.0,0,0,0,0,0,0,40200.0,40200.0,0
Babayele Sodade,2012,F,SEA,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,67512.0,67512.0,0
Baggio Husidic,2009,M,CHI,12,6,541,0,1,0.0,0.2,0,0,0,0,0,1,110000.0,194000.0,1
Baggio Husidic,2010,M,CHI,22,18,1498,5,3,0.3,0.18,1,0,4,1,2,1,75000.0,117000.0,8
Baggio Husidic,2011,M,CHI,18,9,794,0,2,0.0,0.23,0,0,0,0,1,1,82500.0,124500.0,2
